2026-02-26 18:47:00 UTC | SYS-PROBE | WARN | (pkg/security/probe/probe_ebpf.go:365 in sanityChecks) | the raw packet feature of CWS requires event_monitoring_config.network.enabled to be true, setting event_monitoring_config.network.raw_packet.enabled to false
2026-02-26 18:47:00 UTC | SYS-PROBE | WARN | (pkg/security/probe/probe_ebpf.go:2943 in NewEBPFProbe) | the current environment may be misconfigured: 3 errors occurred:
	* /etc/passwd doesn't seem to be a mountpoint
	* /etc/group doesn't seem to be a mountpoint
	* /host/sys/kernel/security doesn't seem to be a mountpoint

2026-02-26 18:47:01 UTC | SYS-PROBE | INFO | (cmd/system-probe/modules/eventmonitor.go:77 in createEventMonitorModule) | event monitoring network consumer initialized
2026-02-26 18:47:02 UTC | SYS-PROBE | INFO | (pkg/security/probe/probe_ebpf.go:1851 in apply) | Setting in-kernel filter policy to [`open`: `deny`, `mkdir`: `deny`, `link`: `deny`, `rename`: `deny`, `unlink`: `deny`, `rmdir`: `deny`, `chmod`: `deny`, `chown`: `deny`, `utimes`: `deny`, `mmap`: `deny`, `mprotect`: `deny`, `splice`: `deny`, `setxattr`: `deny`, `removexattr`: `deny`, `chdir`: `deny`, `bpf`: `deny`, `sysctl`: `deny`, `connect`: `deny`, `prctl`: `deny`, `setsockopt`: `deny`, `mount`: `deny`, `umount`: `deny`, `fork`: `deny`, `exec`: `deny`, `exit`: `deny`, `invalidate_dentry`: `deny`, `setuid`: `deny`, `setgid`: `deny`, `capset`: `deny`, `args_envs`: `deny`, `mount_released`: `deny`, `selinux`: `deny`, `ptrace`: `deny`, `load_module`: `deny`, `unload_module`: `deny`, `signal`: `deny`, `cgroup_tracing`: `deny`, `dns`: `deny`, `dns_response_short`: `deny`, `dns_response`: `deny`, `net_device`: `deny`, `veth_pair`: `deny`, `veth_pair_ns`: `deny`, `accept`: `deny`, `bind`: `deny`, `unshare_mntns`: `deny`, `syscalls`: `deny`]
2026-02-26 18:47:02 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:104 in Register) | module event_monitor started
2026-02-26 18:47:02 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:104 in Register) | module discovery started
2026-02-26 18:47:02 UTC | SYS-PROBE | WARN | (comp/core/tagger/impl-remote/remote.go:492 in run) | error received trying to start stream with target ":5001": rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp :5001: connect: connection refused"
2026-02-26 18:47:02 UTC | SYS-PROBE | INFO | (comp/core/workloadmeta/collectors/internal/remote/generic.go:165 in func1) | workloadmeta stream established successfully
2026-02-26 18:47:04 UTC | SYS-PROBE | WARN | (comp/core/tagger/impl-remote/remote.go:492 in run) | error received trying to start stream with target ":5001": rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp :5001: connect: connection refused"
2026-02-26 18:47:07 UTC | SYS-PROBE | INFO | (comp/core/remoteagent/helper/serverhelper.go:268 in registerWithAgent) | Registered with Core Agent. Recommended refresh interval of 10 seconds.
2026-02-26 18:47:08 UTC | SYS-PROBE | INFO | (comp/core/tagger/impl-remote/remote.go:529 in run) | tagger stream successfully initialized
2026-02-26 18:47:12 UTC | SYS-PROBE | INFO | (pkg/config/remote/client/client.go:489 in pollLoop) | first update successful after 8 attempts
2026-02-26 18:47:14 UTC | SYS-PROBE | INFO | (cmd/system-probe/modules/network_tracer.go:214 in logRequests) | Got request on /connections?client_id=process-agent-unique-id (count: 1): retrieved 549 connections in 3.6175ms
2026-02-26 18:47:44 UTC | SYS-PROBE | INFO | (cmd/system-probe/modules/network_tracer.go:214 in logRequests) | Got request on /connections?client_id=process-agent-unique-id (count: 2): retrieved 903 connections in 7.642458ms
2026-02-26 18:48:14 UTC | SYS-PROBE | INFO | (cmd/system-probe/modules/network_tracer.go:214 in logRequests) | Got request on /connections?client_id=process-agent-unique-id (count: 3): retrieved 793 connections in 6.08425ms
2026-02-26 18:48:44 UTC | SYS-PROBE | INFO | (cmd/system-probe/modules/network_tracer.go:214 in logRequests) | Got request on /connections?client_id=process-agent-unique-id (count: 4): retrieved 772 connections in 8.920667ms
