        CONTAINER ID                                                                                     IMAGE                         COMMAND                        STATUS               PORTS                                                                                                             NAMES
        7739eabc3575                                                              registry.k8s.io/pause:3.10.1                        "/pause"       Exited (0) 45 hours ago                  []                            [/k8s_POD_coredns-7d764666f9-m99c8_kube-system_2595af7c-adbe-4e87-984c-759876340e8a_2]
        18ed528b8a46                                                              registry.k8s.io/pause:3.10.1                        "/pause"       Exited (0) 45 hours ago                  []                                    [/k8s_POD_kube-proxy-r4f7x_kube-system_72150617-7154-43b9-b149-1890f64e1f1d_2]
        6255220685cf                   sha256:271e49a0ebc56647476845128fcd2a73bb138beeca3878cc3bf52b4ff1172a57                        "etcd …"      Exited (255) 3 hours ago                  []                                         [/k8s_etcd_etcd-pattykube_kube-system_54027e52158f0d328dd5b7459b430812_2]
        53873595f1d9                   sha256:ddc8422d4d35a6fc66c34be61e24df795e5cebf197eb546f62740d0bafef874f              "kube-scheduler …"       Exited (1) 45 hours ago                  []                     [/k8s_kube-scheduler_kube-scheduler-pattykube_kube-system_29a4db6f284853a1e9d61c9937943484_2]
        63211fe25130                   sha256:88898f1d1a62a3ea9db5d4d099dee7aa52ebe8191016c5b3c721388a309983e0     "kube-controller-manager …"       Exited (2) 45 hours ago                  []   [/k8s_kube-controller-manager_kube-controller-manager-pattykube_kube-system_9bd1c70cf7e25111cd9189ce6a29e306_2]
        079ccff1fe88                   sha256:c3fcf259c473a57a5d7da116e29161904491091743512d27467c907c5516f856              "kube-apiserver …"      Exited (255) 3 hours ago                  []                     [/k8s_kube-apiserver_kube-apiserver-pattykube_kube-system_7418e5e3a827586a02748ea0e6ae94d9_2]
        c71ebddb6fb1                                                              registry.k8s.io/pause:3.10.1                        "/pause"       Exited (0) 45 hours ago                  []                       [/k8s_POD_kube-controller-manager-pattykube_kube-system_9bd1c70cf7e25111cd9189ce6a29e306_2]
        ddb63d149764                                                              registry.k8s.io/pause:3.10.1                        "/pause"       Exited (0) 45 hours ago                  []                                          [/k8s_POD_etcd-pattykube_kube-system_54027e52158f0d328dd5b7459b430812_2]
        0b4fc5ae75fa                                                              registry.k8s.io/pause:3.10.1                        "/pause"       Exited (0) 45 hours ago                  []                                [/k8s_POD_kube-scheduler-pattykube_kube-system_29a4db6f284853a1e9d61c9937943484_2]
        293a25780d96                                                              registry.k8s.io/pause:3.10.1                        "/pause"       Exited (0) 45 hours ago                  []                                [/k8s_POD_kube-apiserver-pattykube_kube-system_7418e5e3a827586a02748ea0e6ae94d9_2]
