FD  Type Size      OpenPerm FilePerm            Name                                                                                                                                                                  
mem REG  629552    r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/jellyfish/_rustyfish.cpython-313-aarch64-linux-gnu.so                                                        
mem REG  463984    r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/bcrypt/_bcrypt.abi3.so                                                                                       
mem REG  1223744   r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/_cffi_backend.cpython-313-aarch64-linux-gnu.so                                                               
mem REG  7138673   r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/aerospike.libs/libcrypto-85652a3a.so.3                                                                       
mem REG  7138673   ---p     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/aerospike.libs/libcrypto-85652a3a.so.3                                                                       
mem REG  1401321   r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/aerospike.libs/libssl-5b72bb26.so.3                                                                          
mem REG  3491152   r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/cryptography/hazmat/bindings/_rust.abi3.so                                                                   
mem REG  3491152   ---p     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/cryptography/hazmat/bindings/_rust.abi3.so                                                                   
mem REG  36656     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_zoneinfo.cpython-313-aarch64-linux-gnu.so                                                                     
mem REG  6336      r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_contextvars.cpython-313-aarch64-linux-gnu.so                                                                  
mem REG  4432976   r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-aarch64-linux-gnu.so                                                
mem REG  204440    r--p     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/wrapt/_wrappers.cpython-313-aarch64-linux-gnu.so                                                             
mem REG  32408     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/mmap.cpython-313-aarch64-linux-gnu.so                                                                          
mem REG  70320     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/simplejson/_speedups.cpython-313-aarch64-linux-gnu.so                                                        
mem REG  41984     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_multibytecodec.cpython-313-aarch64-linux-gnu.so                                                               
mem REG  280112    r--p     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/charset_normalizer/md__mypyc.cpython-313-aarch64-linux-gnu.so                                                
mem REG  198824    r--p     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/charset_normalizer/md.cpython-313-aarch64-linux-gnu.so                                                       
